CaseID;ActivityID;Timestamp;Resource;Resource2
14;4;14.10.2011 08:37:00;0;0
14;4;14.10.2011 09:05:00;25;25
14;4;14.10.2011 10:49:00;0;0
14;2;14.10.2011 11:22:00;3;3
15;3;10.01.2011 09:56:00;23;23
15;0;01.10.2011 10:50:01;0;0
15;0;10.03.2011 07:56:00;15;15
15;0;10.03.2011 10:55:00;6;6
15;0;10.04.2011 06:35:00;27;27
15;0;10.04.2011 08:26:00;28;28
15;0;10.04.2011 12:27:00;19;19
15;0;10.05.2011 04:32:00;15;15
15;0;10.05.2011 08:28:00;0;0
15;0;10.05.2011 13:14:00;0;0
15;0;10.05.2011 13:53:00;0;0
15;0;10.06.2011 05:00:00;6;6
15;0;10.06.2011 15:54:00;15;15
15;0;10.07.2011 13:34:00;10;10
15;0;10.08.2011 05:51:00;1;1
15;0;08.10.2011 06:30:22;10;10
15;0;14.10.2011 10:52:00;0;0
16;3;10.01.2011 10:21:00;23;23
16;0;01.10.2011 10:58:47;0;0
16;1;10.08.2011 07:45:00;25;25
